City,Price,Beds,Baths,Sqft,Address,Link
Florida,"$799,000",— beds,14306 baths,"1,650 sq ft","7152/7154 SW 22nd St, Miami, FL 33155",N/A
Florida,"$589,950",3 beds,2.5 baths,"1,677 sq ft","16306 SW 100th Ter, Miami, FL 33196",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$485,000",2 beds,2.5 baths,"1,755 sq ft","1456 SW 134th Pl, Miami, FL 33184",N/A
Florida,"$552,000",1 bed,1.5 baths,776 sq ft,"55 SW 9th St #1510, Miami, FL 33130",N/A
Florida,"$580,000",4 beds,2 baths,"1,584 sq ft","Undisclosed address, Miami, FL 33147",N/A
Florida,"$749,000",2 beds,2 baths,"1,332 sq ft","1900 N Bayshore Dr #603, Miami, FL 33132",N/A
Florida,"$389,000",2 beds,1 bath,650 sq ft,"6545 NW 6th Ave, Miami, FL 33150",N/A
Florida,"$455,000",2 beds,2.5 baths,"1,144 sq ft","6560 SW 138th Ct #804, Miami, FL 33183",N/A
Florida,"$560,000",1 bed,2 baths,"1,030 sq ft","1450 Brickell Bay Dr #308, Miami, FL 33131",N/A
Florida,"$425,000",5 beds,4 baths,"3,076 sq ft","1110 NW 41st St, Miami, FL 33127",N/A
Florida,"$950,000",4 beds,2 baths,"2,824 sq ft","10421 SW 128th Ave, Miami, FL 33186",N/A
Florida,"$195,000",1 bed,1 bath,700 sq ft,"7530 SW 82nd St Unit G203, Miami, FL 33143",N/A
Florida,"$699,900",3 beds,2.5 baths,"1,689 sq ft","800 NE 155th Ter, Miami, FL 33162",N/A
Florida,"$745,000",— beds,— baths,"1,686 sq ft","1226 NE 112th St, Miami, FL 33161",N/A
Florida,"$373,000",3 beds,2 baths,"1,700 sq ft","6841 SW 147th Ave Unit 3H, Miami, FL 33193",N/A
Florida,"$650,000",2 beds,2 baths,"1,267 sq ft","41 SE 5th St #517, Miami, FL 33131",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$445,000",2 beds,2 baths,"1,535 sq ft","1000 Quayside Ter #1107, Miami, FL 33138",N/A
Florida,"$687,000",1 bed,1 bath,680 sq ft,"700 NE 26th Ter #2004, Miami, FL 33137",N/A
Florida,"$11,995,000",8 beds,9.5 baths,— sq ft,"6730 SW 115th St, Pinecrest, FL 33156",N/A
Florida,"$559,900",3 beds,2 baths,"1,417 sq ft","6721 NW 5th Ave, Miami, FL 33150",N/A
Florida,"$514,900",3 beds,2 baths,"1,461 sq ft","12120 SW 185th Ter, Miami, FL 33177",N/A
Florida,"$1,439,900",4 beds,2 baths,"2,618 sq ft","8803 SW 93rd Ct, Miami, FL 33176",N/A
Florida,"$540,000",3 beds,3 baths,"1,787 sq ft","14521 SW 29th Ter #14521, Miami, FL 33175",N/A
Florida,"$775,000",4 beds,3 baths,"1,340 sq ft","3751 SW 124th Ct, Miami, FL 33175",N/A
Florida,"$980,000",2 beds,3 baths,"1,161 sq ft","488 NE 18th St #3911, Miami, FL 33132",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$759,900",4 beds,2 baths,"1,544 sq ft","400 NW 56th Ave, Miami, FL 33126",N/A
Florida,"$400,000",3 beds,2.5 baths,"1,592 sq ft","14352 SW 96th Ln, Miami, FL 33186",N/A
Florida,"$440,000",1 bed,1 bath,752 sq ft,"1600 NE 1st Ave #3319, Miami, FL 33132",N/A
Florida,"$1,775,900",3 beds,3 baths,"1,600 sq ft","94 NE 29th St #407, Miami, FL 33137",N/A
Florida,"$700,900",0 beds,1 bath,599 sq ft,"94 NE 29th St #608, Miami, FL 33137",N/A
Florida,"$259,000",2 beds,2 baths,852 sq ft,"5501 NW 7th St Unit E301, Miami, FL 33126",N/A
Florida,"$519,900",0 beds,1 bath,388 sq ft,"94 NE 29th St #614, Miami, FL 33137",N/A
Florida,"$495,000",4 beds,2 baths,"1,414 sq ft","10626 SW 148th Ave Dr, Miami, FL 33196",N/A
Florida,"$550,000",3 beds,2 baths,"1,301 sq ft","11830 SW 208th Ter, Miami, FL 33177",N/A
Florida,"$641,990",5 beds,4 baths,"2,518 sq ft","22423 SW 125 Ct Unit A, Miami, FL 33170",N/A
Florida,"$3,600,000",3 beds,3.5 baths,"2,329 sq ft","300 Biscayne Blvd Way #2907, Miami, FL 33131",N/A
